"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","epic Problems","3","feature Easy","3","0","story Two sum","0"
"0","epic Problems","0","feature Medium","9","0","story Integer to roman","0"
"0","epic Problems","0","feature Easy","8","0","story Roman to integer","0"
"0","epic Challenges","0","feature 20210202-20210107","0","5","story Check array formation through concatenation","0"
"0","epic Problems","0","feature Medium","9","0","story Gas station","0"
"0","epic Problems","10","feature Easy","0","0","story Degree of an array","0"
"0","epic Problems","3","feature Easy","38","0","story Maximum subarray","0"
"0","epic Problems","0","feature Easy","30","0","story Climbing stairs","0"
"0","epic Challenges","0","feature 20210115-20210121","0","2","story Find the most competitive subsequence","0"
"0","epic Problems","0","feature Easy","6","0","story Majority element","0"
"5","epic Challenges","5","feature 20201001-20201007","0","0","story Combination sum","0"
"0","epic Challenges","0","feature 20210101-20210107","0","1","story Check array formation through concatenation","0"
"0","epic Problems","1","feature Hard","1","0","story Integer to English words","0"
"0","epic Problems","0","feature Hard","0","1","story Maximum performance of a team","0"
"0","epic Challenges","0","feature 20201001-20201007","1","0","story Recent counter","0"
"0","epic Problems","0","feature Easy","6","0","story Gas station","0"
"0","epic Problems","0","feature Easy","0","2","story Is subsequence","0"
"0","epic Challenges","0","feature 20201001-20201007","1","0","story Number of recent calls","0"
"0","epic Problems","0","feature Easy","3","0","story Contains duplicate","0"
"0","epic Challenges","0","feature 20210202-20210107","0","1","story Find a corresponding node of a binary tree in a clone of that tree","0"
"0","epic Challenges","0","feature 20201001-20201007","1","0","story Some","0"
