"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","failed","Sun Aug 03 22:20:38 GMT 2025","","test_degree_of_an_array","",""
"test Two sum 02","0","case 02","","Sun Aug 03 22:20:32 GMT 2025","failed","Sun Aug 03 22:20:32 GMT 2025","","Two Sum","Two Sum","case 02"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_maximum_subarray","",""
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_integer_to_roman","",""
"","8","test Gas station 01 [2] [2, 3, 4], [3, 4, 3], -1","","Sun Aug 03 22:23:25 GMT 2025","passed","Sun Aug 03 22:23:25 GMT 2025","","suite Java","problems.medium.GasStation.GasStationTest","TestGasStation"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_maximum_subarray","",""
"","2","test Maximum subarray [6] [-2, -3, 4, -1, -2, 1, 5, -3], 7","","Sun Aug 03 22:23:26 GMT 2025","passed","Sun Aug 03 22:23:26 GMT 2025","","suite Java","problems.easy.MaximumSubarray.MaximumSubarrayTest","shouldCalculate"
"","6","test Maximum subarray [3] [5, 4, -1, 7, 8], 23","","Sun Aug 03 22:23:26 GMT 2025","passed","Sun Aug 03 22:23:26 GMT 2025","","suite Kotlin","problems.easy.MaximumSubarray.MaximumSubarrayKtTest","shouldCalculateMaximumSubarray"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_integer_to_roman","",""
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_integer_to_roman","",""
"test Maximum subarray","1","test Maximum subarray: inputArray = {inputArray}, returns {expectedResult}","","Sun Aug 03 22:20:32 GMT 2025","passed","Sun Aug 03 22:20:32 GMT 2025","","maxSubArray([ 5, -3, 6, -7, 6, [length]: 5 ]) should equal 8","maxSubArray([ 5, -3, 6, -7, 6, [length]: 5 ]) should equal 8","test Maximum subarray: inputArray = {inputArray}, returns {expectedResult}"
"","20","test Climbing stairs [1] 1, 1","","Sun Aug 03 22:23:26 GMT 2025","passed","Sun Aug 03 22:23:26 GMT 2025","","suite Kotlin","problems.easy.ClimbingStairs.ClimbingStairsKtTest","testClimbingStairs"
"","48","test Maximum subarray [1] inputArray=[-2, 1, -3, 4, -1, 2, 1, -5, 4], expectedResult=6","","Sun Aug 03 22:23:27 GMT 2025","passed","Sun Aug 03 22:23:27 GMT 2025","","suite Scala","problems.easy.MaximumSubarray.MaximumSubarrayScalaTest","shouldCalculateMaximumSubarray"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_climbing_stairs","",""
"test Degree of an array","0","test Degree of an array: inputArray = {inputArray} returns {expectedResult}","","Sun Aug 03 22:20:32 GMT 2025","failed","Sun Aug 03 22:20:32 GMT 2025","","findShortestSubArray([ 1, 2, 2, 3, 1, 4, 2, [length]: 7 ]) should equal 6","findShortestSubArray([ 1, 2, 2, 3, 1, 4, 2, [length]: 7 ]) should equal 6","test Degree of an array: inputArray = {inputArray} returns {expectedResult}"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_roman_to_integer","",""
"test Two sum 03","1","case 03","","Sun Aug 03 22:20:32 GMT 2025","failed","Sun Aug 03 22:20:32 GMT 2025","","Two Sum","Two Sum","case 03"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","passed","Sun Aug 03 22:20:38 GMT 2025","","test_integer_to_english_words","",""
"","2","test Climbing stairs [5] input=5, expectedResult=8","","Sun Aug 03 22:23:27 GMT 2025","passed","Sun Aug 03 22:23:27 GMT 2025","","suite Scala","problems.easy.ClimbingStairs.ClimbingStairsScalaTest","testClimbingStairs"
"","0","test Python","suite Python","Sun Aug 03 22:20:38 GMT 2025","skipped","Sun Aug 03 22:20:38 GMT 2025","","test_check_array_formation_through_concatenation","",""
"","9","test Maximum subarray [3] [5, 4, -1, 7, 8], 23","","Sun Aug 03 22:23:26 GMT 2025","passed","Sun Aug 03 22:23:26 GMT 2025","","suite Java","problems.easy.MaximumSubarray.MaximumSubarrayTest","shouldCalculate"
"test Gas station","0","test Gas station: gas = 7,1,0,11,4, cost = 5,9,1,2,5, returns 3","","Sun Aug 03 22:20:32 GMT 2025","passed","Sun Aug 03 22:20:32 GMT 2025","","canCompleteCircuit(7, 5) should equal 3","canCompleteCircuit(7, 5) should equal 3","test Gas station: gas = 7,1,0,11,4, cost = 5,9,1,2,5, returns 3"
