"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation","test_check_array_formation_through_concatenation","","","","test_check_array_formation_through_concatenation[input_array2-pieces2-False]",""
"passed","Mon May 10 17:59:02 GMT 2021","Mon May 10 17:59:02 GMT 2021","8","","problems.medium.GasStation.GasStationTest","","problems.medium.GasStation.GasStationTest","TestGasStationKt","[3] [7, 1, 0, 11, 4], [5, 9, 1, 2, 5], 3",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.medium.IntegerToRoman","test_integer_to_roman","","","","test_integer_to_roman[1994-MCMXCIV]",""
"passed","Mon May 10 17:59:02 GMT 2021","Mon May 10 17:59:02 GMT 2021","194","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","shouldFindGreatestCommonDivisorKt","[2] ABABAB, ABAB, AB",""
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation","test_check_array_formation_through_concatenation","","","","test_check_array_formation_through_concatenation[input_array0-pieces0-True]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.easy.RomanToInteger","test_roman_to_integer","","","","test_roman_to_integer[MDLXX-1570]",""
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20201001_20201007.CombinationSum","test_combination_sum","SolutionTest","","","test_5",""
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation","test_check_array_formation_through_concatenation","","","","test_check_array_formation_through_concatenation[input_array1-pieces1-True]",""
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation","test_check_array_formation_through_concatenation","","","","test_check_array_formation_through_concatenation[input_array4-pieces4-False]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","1","src.test.java.problems.medium.IntegerToRoman","test_integer_to_roman","","","","test_integer_to_roman[4-IV]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.easy.RomanToInteger","test_roman_to_integer","","","","test_roman_to_integer[MMMDCCLXV-3765]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.easy.GreatestCommonDivisorOfStrings","test_greatest_common_divisor_of_strings","","","","test_greatest_common_divisor_of_strings[ABABAB-ABAB-AB]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.easy.GreatestCommonDivisorOfStrings","test_greatest_common_divisor_of_strings","","","","test_greatest_common_divisor_of_strings[ABCABC-ABC-ABC]",""
"passed","Mon May 10 17:59:02 GMT 2021","Mon May 10 17:59:02 GMT 2021","128","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","shouldFindGreatestCommonDivisorKt","[1] ABCABC, ABC, ABC",""
"skipped","Mon May 10 17:59:02 GMT 2021","Mon May 10 17:59:02 GMT 2021","0","","challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation.CheckArrayFormationThroughConcatenationTest","","challenges.c20210101_20210107.CheckArrayFormationThroughConcatenation.CheckArrayFormationThroughConcatenationTest","shouldCheck","shouldCheck(int[], int[][], boolean)",""
"passed","Mon May 10 17:59:02 GMT 2021","Mon May 10 17:59:02 GMT 2021","2","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","","problems.easy.GreatestCommonDivisorOfStrings.GreatestCommonDivisorOfStringsTest","shouldFindGreatestCommonDivisorKt","[4] ABCDEF, ABC, ",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.easy.GreatestCommonDivisorOfStrings","test_greatest_common_divisor_of_strings","","","","test_greatest_common_divisor_of_strings[LEET-CODE-]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.problems.medium.IntegerToRoman","test_integer_to_roman","","","","test_integer_to_roman[58-LVIII]",""
"skipped","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","0","src.test.java.challenges.c20210101_20210107.FindACorrespondingNodeOfABinaryTreeInACloneOfThatTree","test_find_a_corresponding_node_of_a_Binary_tree_in_a_clone_of_that_tree","","","","test_find_a_corresponding_node_of_a_binary_tree_in_a_clone_of_that_tree[original0-cloned0-target0-expected_result0]",""
"passed","Mon May 10 17:56:56 GMT 2021","Mon May 10 17:56:56 GMT 2021","1","src.test.java.problems.easy.GreatestCommonDivisorOfStrings","test_greatest_common_divisor_of_strings","","","","test_greatest_common_divisor_of_strings[ABCDEF-ABC-]",""
